Stop ID,Stop Name,Location
6601521,ON ANTIOCH AT 73RD SOUTHBOUND,"(38.997081, -94.686503)"
290053,ON GRAND AT 11TH SOUTHBOUND NEARSIDE,"(39.101158, -94.580901)"
403186,ON STRANG LINE AT 118TH NORTHBOUND NEARSIDE,"(38.914181, -94.765207)"
7100168,ON PROSPECT AT 46TH SOUTHBOUND,"(39.042923, -94.554338)"
2800244,ON 40 HWY AT BLUE RIDGE CUT OFF EASTBOUND,"(39.059786, -94.472375)"
23522,ON 35TH AT PROSPECT WESTBOUND,"(39.062694, -94.553316)"
5751562,ON 75TH AT GRANDVIEW WESTBOUND NEARSIDE,"(38.993161, -94.690791)"
11622,ON PARALLEL PKWY AT 75TH ST EASTBOUND,"(39.12842, -94.752577)"
129153,ON N AMBASSADOR AT 9500 N AMBASSADOR SB,"(39.26353, -94.657615)"
85192,ON 85TH AT MADISON EASTBOUND NEARSIDE,"(38.974393, -94.601176)"
place_bnblrg,Bannister & Blue Ridge,"(38.953586, -94.506871)"
2700131,ON 27TH AT ELMWOOD EASTBOUND,"(39.076285, -94.529612)"
4782,ON CLAY EDWARDS DR AT 2700 NB,"(39.149468, -94.55242)"
5600049,ON BROOKSIDE AT 62ND ST SB,"(39.015624, -94.590862)"
1350029,ON WALKER RD AT ROCKCREEK PKWY SOUTHBOUND,"(39.148878, -94.548554)"
6671526,ON ROE AT 55TH ST SB,"(39.029627, -94.639864)"
1602,NORTH LOOP ON MAIN AT 7TH ST SB,"(39.105427, -94.583172)"
2851504,ON 23RD AT SCOTT EB,"(39.079943, -94.437373)"
5461555,ON JOHNSON DRIVE AT RILEY STREET EB,"(39.022184, -94.671086)"
1060060,ON 27TH AT FARROW SOUTHBOUND,"(39.14441, -94.659229)"
29192,ON MAIN AT BOOTH LANE WESTBOUND,"(38.888866, -94.522793)"
